date,open,high,low,close,volume
1981-11-03,0.0688,0.0688,0.0684,0.0684,28380800
1981-11-04,0.0671,0.0671,0.0667,0.0667,23811200
1981-11-05,0.0623,0.0623,0.0619,0.0619,23363200
1981-11-06,0.0623,0.0628,0.0623,0.0623,24595200
1981-11-09,0.0632,0.0636,0.0632,0.0632,20384000
1981-11-10,0.0636,0.0641,0.0636,0.0636,16755200
1981-11-11,0.0654,0.0658,0.0654,0.0654,27440000
1981-11-12,0.0675,0.0680,0.0675,0.0675,39916800
1981-11-13,0.0632,0.0632,0.0628,0.0628,21011200
1981-11-16,0.0623,0.0623,0.0619,0.0619,22556800
1981-11-17,0.0632,0.0636,0.0632,0.0632,35414400
1981-11-18,0.0654,0.0658,0.0654,0.0654,29142400
1981-11-19,0.0654,0.0658,0.0654,0.0654,40006400
1981-11-20,0.0658,0.0663,0.0658,0.0658,38102400
1981-11-23,0.0636,0.0636,0.0628,0.0628,22960000
1981-11-24,0.0628,0.0628,0.0623,0.0623,22153600
1981-11-25,0.0636,0.0641,0.0636,0.0636,52550400
1981-11-27,0.0654,0.0658,0.0654,0.0654,37251200
1981-11-30,0.0649,0.0649,0.0645,0.0645,23968000
1981-12-01,0.0645,0.0649,0.0645,0.0645,23385600
1981-12-02,0.0649,0.0654,0.0649,0.0649,37564800
1981-12-03,0.0645,0.0645,0.0641,0.0641,20428800
1981-12-04,0.0658,0.0663,0.0658,0.0658,137155200
1981-12-07,0.0663,0.0667,0.0663,0.0663,59292800
1981-12-08,0.0658,0.0658,0.0649,0.0649,50624000
1981-12-09,0.0654,0.0658,0.0654,0.0654,34272000
1981-12-10,0.0654,0.0658,0.0654,0.0654,37408000
1981-12-11,0.0654,0.0658,0.0649,0.0649,76092800
1981-12-14,0.0636,0.0636,0.0628,0.0628,25244800
1981-12-15,0.0645,0.0649,0.0645,0.0645,31315200
1981-12-16,0.0675,0.0680,0.0675,0.0675,65452800
1981-12-17,0.0731,0.0736,0.0731,0.0731,51452800
1981-12-18,0.0792,0.0797,0.0792,0.0792,71724800
1981-12-21,0.0762,0.0762,0.0757,0.0757,56403200
1981-12-22,0.0771,0.0775,0.0771,0.0771,53827200
1981-12-23,0.0757,0.0757,0.0753,0.0753,28896000
1981-12-24,0.0757,0.0762,0.0757,0.0757,28918400
1981-12-28,0.0731,0.0731,0.0723,0.0723,36579200
1981-12-29,0.0736,0.0745,0.0736,0.0736,24236800
1981-12-30,0.0766,0.0771,0.0766,0.0766,32188800
1981-12-31,0.0766,0.0771,0.0766,0.0766,54656000
1982-01-04,0.0766,0.0766,0.0762,0.0762,71254400
1982-01-05,0.0731,0.0731,0.0723,0.0723,35840000
1982-01-06,0.0719,0.0719,0.0714,0.0714,66080000
1982-01-07,0.0667,0.0667,0.0658,0.0658,70044800
1982-01-08,0.0688,0.0693,0.0688,0.0688,56604800
1982-01-11,0.0649,0.0649,0.0645,0.0645,33331200
1982-01-12,0.0628,0.0628,0.0623,0.0623,59920000
1982-01-13,0.0623,0.0623,0.0619,0.0619,41753600
1982-01-14,0.0649,0.0654,0.0649,0.0649,25715200
1982-01-15,0.0693,0.0701,0.0693,0.0693,46704000
1982-01-18,0.0706,0.0714,0.0706,0.0706,28000000
1982-01-19,0.0697,0.0697,0.0688,0.0688,55507200
1982-01-20,0.0701,0.0706,0.0701,0.0701,25827200
1982-01-21,0.0714,0.0719,0.0714,0.0714,33331200
1982-01-22,0.0719,0.0723,0.0719,0.0719,24259200
1982-01-25,0.0701,0.0701,0.0697,0.0697,44710400
1982-01-26,0.0680,0.0680,0.0671,0.0671,21212800
1982-01-27,0.0675,0.0684,0.0675,0.0675,31360000
1982-01-28,0.0697,0.0701,0.0697,0.0697,39603200
1982-01-29,0.0706,0.0710,0.0706,0.0706,53155200
1982-02-01,0.0706,0.0706,0.0697,0.0697,38528000
1982-02-02,0.0701,0.0710,0.0701,0.0701,54275200
